movie,title,genres,year,Rating,Rotton Tomato
108583,Fawlty Towers (1975,Comedy,-1980,1,54
3309,"Dog's Life, A",Comedy,1917,3,83
72626,"Billy Blazes, Esq.",Comedy|Western,1918,2,63
1348,"Nosferatu (Nosferatu, eine Symphonie des Grauens)",Horror,1922,3,65
83411,Cops,Comedy,1921,4,85
3140,Three Ages,Comedy,1923,6,75
8235,Safety Last!,Action|Comedy|Romance,1923,7,96
8609,Our Hospitality,Comedy,1923,8,83
25750,Sherlock Jr.,Comedy|Fantasy|Romance,1923,2,59
25753,Greed,Drama,1923,6,65
3133,Go West,Comedy|Western,1924,10,54
3232,Seven Chances,Comedy,1925,6,84
3742,Battleship Potemkin,Drama|War,1925,1,97
4404,Faust,Drama|Fantasy|Horror,1926,1,73
1925,Wings,Action|Drama|Romance|War,1927,2,56
2010,Metropolis,Drama|Sci-Fi,1927,9,57
7914,Berlin: Symphony of a Great City (Berlin: Die Sinfonie der Großstadt),Documentary,1926,4,93
8125,Sunrise: A Song of Two Humans,Drama|Romance,1927,3,71
8275,College,Comedy,1927,7,82
58649,Napoléon,Drama|War,1926,4,71
2102,Steamboat Willie,Animation|Children|Comedy|Musical,1927,8,76
25769,"Steamboat Bill, Jr.",Comedy|Romance,1927,5,99
2221,Blackmail,Drama|Thriller,1928,8,89
25763,"Pandora's Box (Büchse der Pandora, Die)",Drama,1929,10,56
25771,"Andalusian Dog, An (Chien andalou, Un)",Fantasy,1929,8,62
2219,Murder!,Mystery|Thriller,1929,5,70
7706,Animal Crackers,Comedy|Musical,1929,5,90
1260,M,Crime|Film-Noir|Thriller,1931,5,85
1928,Cimarron,Drama|Western,1930,2,77
2215,Rich and Strange,Comedy|Romance,1930,10,62
2644,Dracula,Horror,1930,2,80
2648,Frankenstein,Drama|Horror|Sci-Fi,1931,3,56
3307,City Lights,Comedy|Drama|Romance,1931,6,100
5560,À nous la liberté (Freedom for Us),Comedy|Musical,1931,7,58
25773,Little Caesar,Crime|Drama,1930,1,84
25777,Monkey Business,Comedy,1930,8,65
72683,Limit (Limite),Drama,1931,4,61
976,"Farewell to Arms, A",Romance|War,1931,8,94
1929,Grand Hotel,Drama|Romance,1931,4,64
2214,Number Seventeen (a.k.a. Number 17),Thriller,1931,6,52
2904,Rain,Drama,1931,4,63
3739,Trouble in Paradise,Comedy|Romance,1932,8,56
7881,White Zombie,Horror,1931,1,63
8044,I Am a Fugitive from a Chain Gang,Crime|Drama|Film-Noir,1931,9,73
8507,Freaks,Crime|Drama|Horror,1931,9,77
25788,Scarface,Crime|Drama,1931,5,63
25792,"I Was Born, But... (a.k.a. Children of Tokyo) (Otona no miru ehon - Umarete wa mita keredo)",Comedy|Drama,1931,6,55
53038,Red Dust,Drama,1932,5,93
1256,Duck Soup,Comedy|Musical|War,1933,10,89
2366,King Kong,Action|Adventure|Fantasy|Horror,1933,2,63
4921,Little Women,Drama|Romance,1932,9,63
7080,42nd Street,Drama|Musical|Romance,1933,2,65
7081,I'm No Angel,Comedy,1933,2,68
8256,Queen Christina,Drama|Romance,1933,10,81
25795,Dinner at Eight,Comedy|Drama|Romance,1933,4,74
25801,She Done Him Wrong,Comedy|Romance,1932,10,82
80748,Alice in Wonderland,Adventure|Children|Fantasy,1932,1,59
905,It Happened One Night,Comedy|Romance,1933,1,86
3086,Babes in Toyland,Children|Comedy|Fantasy|Musical,1934,1,95
5097,Bright Eyes,Comedy|Drama,1934,1,60
25805,"Atalante, L'",Comedy|Drama|Romance,1933,10,73
32160,Twentieth Century,Comedy,1934,1,73
39779,Tarzan and His Mate,Action|Adventure,1933,6,82
98458,Baby Take a Bow,Children|Comedy|Drama,1934,3,98
99270,Stand Up and Cheer!,Comedy|Musical,1933,6,83
945,Top Hat,Comedy|Musical|Romance,1935,4,77
8167,Captain Blood,Action|Adventure|Romance,1935,10,61
52913,Sylvia Scarlett,Comedy|Drama|Romance,1935,4,64
87383,Curly Top,Children|Musical|Romance,1934,5,91
99085,Our Little Girl,Comedy|Drama|Romance,1934,6,67
947,My Man Godfrey,Comedy|Romance,1935,5,91
961,Little Lord Fauntleroy,Drama,1936,7,63
2210,Sabotage,Thriller,1936,5,83
3462,Modern Times,Comedy|Drama|Romance,1936,10,84
4999,Dodsworth,Drama|Romance,1935,7,50
5098,Dimples,Musical,1935,4,85
7055,Swing Time,Comedy|Musical|Romance,1935,6,82
25825,Fury,Drama|Film-Noir,1936,3,95
25826,Libeled Lady,Comedy|Romance,1935,4,70
25827,Mr. Deeds Goes to Town,Comedy|Romance,1936,3,68
47606,Captain January,Children|Comedy|Musical,1936,1,77
99089,Poor Little Rich Girl,Adventure|Musical|Romance,1936,3,51
99273,Stowaway,Adventure|Musical,1935,6,92
944,Lost Horizon,Drama,1937,5,88
1066,Shall We Dance,Comedy|Musical|Romance,1937,9,90
1067,"Damsel in Distress, A",Comedy|Musical|Romance,1936,3,62
3134,Grand Illusion (La grande illusion),Drama|War,1936,7,51
3217,"Star Is Born, A",Drama,1937,9,53
4800,King Solomon's Mines,Action|Adventure|Drama|Romance|Thriller,1936,6,98
5099,Heidi,Children|Drama,1936,7,89
6035,Pépé le Moko,Crime|Drama|Romance,1937,3,97
6515,You Only Live Once,Crime|Film-Noir,1936,9,74
25839,Nothing Sacred,Comedy|Drama|Romance,1936,4,89
25841,Stage Door,Drama,1937,2,61
25842,Topper,Comedy|Fantasy|Romance,1936,10,63
32349,Stella Dallas,Drama,1936,9,99
36553,In Old Chicago,Action|Drama|Musical|War,1936,8,79
60343,Wee Willie Winkie,Adventure,1937,4,60
955,Bringing Up Baby,Comedy|Romance,1938,1,78
1099,"Christmas Carol, A",Children|Drama|Fantasy,1938,6,60
1934,You Can't Take It with You,Comedy|Romance,1937,5,52
7078,Jezebel,Drama,1937,9,96
7086,Pygmalion,Comedy|Drama,1938,2,59
7222,Reefer Madness (a.k.a. Tell Your Children),Comedy|Drama,1937,3,72
8600,Angels with Dirty Faces,Crime|Drama|Film-Noir|Thriller,1937,4,58
25850,Holiday,Comedy|Drama|Romance,1938,10,71
34002,Room Service,Comedy,1938,6,90
98441,Rebecca of Sunnybrook Farm,Children|Comedy|Drama|Musical,1937,9,61
98803,Little Miss Broadway,Drama|Musical,1938,2,72
936,Ninotchka,Comedy|Romance,1939,3,54
954,Mr. Smith Goes to Washington,Drama,1938,10,100
2207,Jamaica Inn,Drama,1938,2,78
2649,Son of Frankenstein,Horror,1938,5,61
